vehicle_engine_id,vehicle_model_id,engine,hp,engine_code
602,35,2.0 TDI 4motion,100,CFFA
603,35,2.0 TDI 4motion,100,CBAA
604,126,2.0 TDI,81,CFFD
605,126,2.0 TDI 4motion,103,CBAB
606,126,2.0 TDI 4motion,103,CFFB
607,126,2.0 TDI 4motion,103,CLJA
608,126,2.0 TDI,103,CFFB
609,37,2.0 TDI,81,CLCA
610,37,2.0 TDI,81,CFHF
611,37,2.0 TDI,103,CFHC
612,127,2.0 TDI,103,CFHC
613,12,1.9 TDI,96,ASZ
614,128,1.9 TDI,96,ASZ
615,129,1.9 TDI,96,ASZ
616,130,1.9 TDI,96,ASZ
617,131,1.9 TDI,96,ASZ
618,131,1.9 TDI 4motion,96,ASZ
619,132,1.9 TDI 4motion,96,ASZ
620,132,1.9 TDI,96,ASZ
621,133,1.9 TDI 4motion,96,ASZ
622,133,1.9 TDI,96,ASZ
623,134,1.9 TDI,96,ASZ
624,135,1.9 TDI,96,ASZ
625,135,1.9 TDI 4motion,96,ASZ
626,136,1.9 TDI,96,ASZ
627,33,1.9 TDI,96,ASZ
628,125,1.9 TDI,96,ASZ
629,2,2.0 TDI,125,BMN
630,2,2.0 TDI,125,CFGB
631,2,2.0 TDI,125,CBBB
632,2,2.0 TDI quattro,125,CFGB
633,2,2.0 TDI quattro,125,BMN
634,2,2.0 TDI quattro,125,CBBB
635,5,2.0 TDI quattro,125,BMN
636,5,2.0 TDI quattro,125,CFGB
637,5,2.0 TDI quattro,125,CBBB
638,5,2.0 TDI,125,CFGB
639,5,2.0 TDI,125,BMN
640,5,2.0 TDI,125,CBBB
641,137,2.0 TDI quattro,125,CFGB
642,137,2.0 TDI quattro,125,CBBB
643,138,2.0 TDI quattro,125,CFGB
644,138,2.0 TDI quattro,125,CBBB
645,9,2.0 TDI,125,CFGB
646,94,2.0 TDI 4x4,125,BMN
647,94,2.0 TDI 4x4,125,CFJA
648,94,2.0 TDI 4x4,125,CEGA
649,12,2.0 TDI,125,BMN
650,12,2.0 TDI,125,CFJA
651,12,2.0 TDI,125,CEGA
652,97,2.0 TDI,125,CFGB
653,97,2.0 TDI,125,CBBB
654,97,2.0 TDI 4x4,125,CFGB
655,97,2.0 TDI 4x4,125,CBBB
656,98,2.0 TDI 4x4,125,CFGB
657,98,2.0 TDI 4x4,125,CBBB
658,98,2.0 TDI,125,CFGB
659,98,2.0 TDI,125,CBBB
660,99,2.0 TDI 4x4,125,CFJA
661,99,2.0 TDI 4x4,125,CEGA
662,113,2.0 TDI,125,CFGB
663,113,2.0 TDI,125,CBBB
664,115,2.0 TDi,125,CFGB
665,119,2.0 TDI 4motion,125,CFGB
666,119,2.0 TDI,125,CFGB
667,119,2.0 TDI,125,CLLA
668,120,2.0 TDI,125,CFGB
669,120,2.0 TDI,125,CLLA
670,121,2.0 TDI 4motion,125,CFGB
671,121,2.0 TDI,125,CFGB
672,121,2.0 TDI,125,CLLA
673,122,2.0 TDI 4motion,125,CFGB
674,122,2.0 TDI 4motion,125,CBBB
675,122,2.0 TDI,125,CFGB
676,122,2.0 TDI,125,CBBB
